,station,model,abs_error,squared_error,r2,last-updated
125,73.0,weekend,1.4346349185202985,2.6196687693200373,0.8005834116071426,2019-04-16
126,71.0,weekday,1.4962981322695594,2.8763461651412716,0.8185759479075072,2019-04-16
127,71.0,weekend,2.3559077289005534,4.452504819560503,0.8017399235469354,2019-04-16
128,57.0,weekday,1.0668513026395094,1.7962380764008314,0.957662228145403,2019-04-16
129,57.0,weekend,1.0560486632469508,1.796569078832335,0.7566963673527669,2019-04-16
130,85.0,weekday,1.767191671121773,2.998609843480737,0.9314676770214938,2019-04-16
131,85.0,weekend,1.751281961556962,3.022149921831593,0.8551310537182196,2019-04-16
132,21.0,weekday,2.0126789716837923,3.3084833335806696,0.8957413746244993,2019-04-16
133,21.0,weekend,2.0185684630658955,3.3604491176699476,0.8541840424758679,2019-04-16
134,22.0,weekday,1.5751537602364647,2.3836646852973753,0.8427073390457542,2019-04-16
135,22.0,weekend,1.7030528174049178,2.6395526539016534,0.8292534651510823,2019-04-16
136,27.0,weekday,1.3243167250788614,2.1695239546406078,0.9055826202264395,2019-04-16
137,27.0,weekend,1.3576278386901235,2.0659687831243456,0.9245917970303077,2019-04-16
138,45.0,weekday,1.600589550056394,2.712351634170129,0.9078394228855743,2019-04-16
139,45.0,weekend,2.4836719790385056,4.3490943153030015,0.7941629647377023,2019-04-16
140,78.0,weekday,2.0656369164232706,3.4373374042855795,0.8976359734778774,2019-04-16
141,78.0,weekend,1.8499916731339163,2.988299356900584,0.8209090724640525,2019-04-16
142,108.0,weekday,1.3401572953883896,2.237493384861688,0.9023207882750681,2019-04-16
143,108.0,weekend,1.910666511695906,3.1214506366810153,0.7984583656606479,2019-04-16
144,86.0,weekday,1.840037985153303,3.088799706622217,0.9510023645998151,2019-04-16
145,86.0,weekend,1.7270627492246873,2.929117177337413,0.9092338306854415,2019-04-16
146,62.0,weekday,1.882638129844961,3.180225770650143,0.9554695073064243,2019-04-16
147,62.0,weekend,1.3808953264693264,2.6266531673071003,0.6506719658926944,2019-04-16
148,52.0,weekday,1.945619225930217,3.1884979356054677,0.8919887570192844,2019-04-16
149,52.0,weekend,2.1271131288961143,3.5252307133959975,0.8751238348482735,2019-04-16
150,90.0,weekday,2.031552177251555,3.6928977132245118,0.9417320992610512,2019-04-16
151,90.0,weekend,1.0544061094838064,1.896780225473645,0.8023684149136926,2019-04-16
152,5.0,weekday,2.8487742607824567,4.613259823119384,0.8164987092867972,2019-04-16
153,5.0,weekend,2.3964190135214127,4.040427186619151,0.7892926901024254,2019-04-16
154,84.0,weekday,1.36375367605712,2.389652032754448,0.9501373628872315,2019-04-16
155,84.0,weekend,1.3996077680196186,2.314044238757639,0.8939434487390405,2019-04-16
156,35.0,weekday,1.5952792385594354,2.446801748976698,0.8780871203143956,2019-04-16
157,35.0,weekend,1.7580630727650763,2.7354375164362486,0.8916218033899188,2019-04-16
158,91.0,weekday,2.0777855183025102,3.21623367338248,0.8408254554069984,2019-04-16
159,91.0,weekend,1.7866115652138124,2.944154334434466,0.8334505700616317,2019-04-16
160,102.0,weekday,1.7830898634517904,3.195337398124954,0.8114968694599085,2019-04-16
161,102.0,weekend,1.9860397362637365,3.3386738986827518,0.7633164761884338,2019-04-16
162,79.0,weekday,1.639009127389587,2.9439859416342937,0.8567604219838255,2019-04-16
163,79.0,weekend,1.0461961771470574,1.9521119871990382,0.8425005959756631,2019-04-16
164,106.0,weekday,1.5436914409285614,2.8319186113516963,0.867921181168596,2019-04-16
165,106.0,weekend,1.4610274706457926,2.5668466405770687,0.785188986634262,2019-04-16
166,97.0,weekday,1.8618281625844866,3.214059333972415,0.9323938309891198,2019-04-16
167,97.0,weekend,2.419696317606444,4.079532662056918,0.7751554536257852,2019-04-16
168,99.0,weekday,2.051601660395623,3.4087461171681483,0.8992473862677034,2019-04-16
169,99.0,weekend,1.7897415244255999,3.2036435269413723,0.6381287062134307,2019-04-16
170,31.0,weekday,1.53181162643582,2.2422856542831973,0.7385128024332087,2019-04-16
171,31.0,weekend,1.475921309772273,2.2986588692292176,0.8665478201570316,2019-04-16
172,87.0,weekday,1.5477727590991384,2.856773976281752,0.9263130441675008,2019-04-16
173,87.0,weekend,2.1128991948527656,3.5412088786853584,0.7978598162635808,2019-04-16
174,56.0,weekday,2.7132584509890654,4.1608302785094775,0.8952894622533645,2019-04-16
175,56.0,weekend,2.1660848868732727,3.5398842843882083,0.855508070731218,2019-04-16
176,81.0,weekday,1.9775909242277692,3.5922690093937737,0.7877802762739824,2019-04-16
177,81.0,weekend,2.98216808685446,5.154550118630895,0.7307199937211261,2019-04-16
178,33.0,weekday,1.9071288935301762,2.8821068488319224,0.8487944862755569,2019-04-16
179,33.0,weekend,1.7565280739016873,2.824007701160043,0.8173003886208641,2019-04-16
180,70.0,weekday,2.1083957154536526,3.267931807640508,0.8511399725825882,2019-04-16
181,70.0,weekend,1.8312442801261557,2.890309233868303,0.861376237266801,2019-04-16
182,68.0,weekday,2.7642696845786867,4.4122427754092115,0.9058630793940612,2019-04-16
183,68.0,weekend,1.6349847183715158,2.745217572229257,0.8942559844194564,2019-04-16
184,32.0,weekday,2.4061633639496964,3.6510568387513715,0.831628057758657,2019-04-16
185,32.0,weekend,1.7601779375378555,2.9739982677249683,0.8437593274882771,2019-04-16
186,61.0,weekday,1.8127262330652194,2.970269056593018,0.79566760262287,2019-04-16
187,61.0,weekend,1.7542724401544405,3.2217122000947866,0.6810777829838285,2019-04-16
188,51.0,weekday,1.9921176837158232,3.5277156615569525,0.8463244605300627,2019-04-16
189,51.0,weekend,2.588824682660446,4.493328190815238,0.8581061583154792,2019-04-16
190,49.0,weekday,2.48821448583184,4.181865684699388,0.9066352062454387,2019-04-16
